source,variable,n_imputed,mean_truth_value,mean_imputed_value,mean_error,mean_absolute_error,median_absolute_error,root_mean_squared_error,n_nonzero_truth,mean_absolute_percentage_error,median_absolute_percentage_error
employment,employees,476,38.178571428571416,38.13655462184873,-0.04201680672268794,1.4705882352941184,1,4.177772314596028,476,3.7863970782350513,2.0833333333333335
turnover,turnover,495,542364.8593737374,552774.6094724106,10409.750098673263,44632.68078363196,12432.955245901656,115196.92100187748,495,6.796832081384453,4.777714523264603
